RK,Player,Team,Position,AVG,Min,Max
346,Tutu Atwell,LAR ,WR,318.6666666666667,295.0,340.0
347,Justin Watson,KC ,WR,319.0,293.0,332.0
348,Donald Parham Jr.,LAC ,TE,321.0,319.0,325.0
349,Tre'Quan Smith,NO ,WR,322.6666666666667,298.0,353.0
350,Quintez Cephus,DET ,WR,324.3333333333333,284.0,346.0
351,Foster Moreau,LV ,TE,325.0,282.0,349.0
352,Josiah Deguara,GB ,TE,342.5,300.0,387.0
353,Desmond Ridder,ATL ,QB,352.6,312.0,383.0
354,Amari Rodgers,GB ,WR,328.6666666666667,281.0,390.0
355,Atlanta Falcons,ATL ,DST,330.3333333333333,306.0,343.0
356,Travis Homer,SEA ,RB,305.5,277.0,334.0
357,Houston Texans,HOU ,DST,336.0,307.0,351.0
358,Chase McLaughlin,FA ,K,310.5,295.0,326.0
359,Equanimeous St. Brown,CHI ,WR,339.0,311.0,368.0
360,Benny Snell Jr.,PIT ,RB,340.3333333333333,312.0,381.0
361,Jerome Ford,CLE ,RB,342.3333333333333,312.0,366.0
362,Kyren Williams,LAR ,RB,342.6666666666667,322.0,354.0
363,Jalen Guyton,LAC ,WR,319.0,270.0,368.0
364,Jimmy Garoppolo,SF ,QB,356.0,311.0,381.0
365,Pharaoh Brown,HOU ,TE,344.3333333333333,334.0,352.0
366,Durham Smythe,MIA ,TE,347.6666666666667,332.0,361.0
367,Keaontay Ingram,ARI ,RB,359.25,321.0,389.0
368,Larry Rountree III,LAC ,RB,348.3333333333333,331.0,359.0
369,Chris Conley,HOU ,WR,327.0,311.0,343.0
370,Geno Smith,SEA ,QB,360.75,343.0,392.0
371,Tyler Johnson,TB ,WR,329.5,317.0,342.0
372,Tylan Wallace,BAL ,WR,331.0,315.0,347.0
373,Kylen Granson,IND ,TE,362.0,336.0,386.0
374,Kalif Raymond,DET ,WR,271.0,271.0,271.0
375,Justin Jackson,DET ,RB,352.3333333333333,315.0,378.0
376,Salvon Ahmed,MIA ,RB,272.0,272.0,272.0
377,Laquon Treadwell,JAC ,WR,333.5,301.0,366.0
378,Drew Lock,SEA ,QB,363.25,309.0,393.0
379,Cade Otton,TB ,TE,355.3333333333333,341.0,377.0
380,Abram Smith,NO ,RB,337.0,306.0,368.0
381,Josh Lambo,FA ,K,286.0,286.0,286.0
