RK,Player,Team,Position,AVG,MIN,MAX,STD DEV
372,Kyle Philips,TEN,WR,330.2,261,359,36.0
373,T.Y. Hilton,DAL,WR,314.3,265,372,41.7
374,Chicago Bears,CHI,DST,334.0,307,355,15.8
375,Chris Moore,HOU,WR,334.4,239,383,53.4
376,Jalen Tolbert,DAL,WR,334.8,304,394,33.2
377,Demarcus Robinson,BAL,WR,335.0,289,382,37.1
378,Marquez Callaway,NO,WR,335.0,317,350,11.9
379,Sam Darnold,CAR,QB,346.2,284,386,32.0
380,Tutu Atwell,LAR,WR,337.2,306,373,27.2
381,Velus Jones Jr.,CHI,WR,338.2,315,356,14.0
382,Jarrett Stidham,LV,QB,338.6,280,383,36.3
383,Ameer Abdullah,LV,RB,339.2,318,369,16.5
384,Trestan Ebner,CHI,RB,357.6,190,488,95.6
385,Jordan Akins,HOU,TE,349.3,315,373,19.2
386,Zach Wilson,NYJ,QB,340.0,273,379,35.6
387,Will Dissly,SEA,TE,350.3,340,365,8.6
388,Jacoby Brissett,CLE,QB,305.0,229,370,58.1
389,Mo Alie-Cox,IND,TE,351.2,305,365,21.4
390,Adam Trautman,NO,TE,351.2,340,360,7.8
391,Kylen Granson,IND,TE,352.0,320,382,19.0
392,Tommy Tremble,CAR,TE,348.0,332,375,14.4
393,Jauan Jennings,SF,WR,349.0,298,377,28.4
394,Andy Dalton,NO,QB,318.3,272,368,39.3
395,Jeremy Ruckert,NYJ,TE,339.0,282,367,33.5
396,Sam Laporta,FA,TE,294.0,169,419,125.0
397,Donald Parham Jr.,LAC,TE,352.6,345,358,4.2
398,C.J. Uzomah,NYJ,TE,360.2,346,370,10.0
399,Cameron Brate,FA,TE,354.0,320,375,19.1
400,Dyami Brown,WAS,WR,344.5,315,366,21.5
401,DeAndre Carter,LAC,WR,355.6,262,384,47.1
402,Brock Wright,DET,TE,355.6,319,390,26.2
403,Mike White,NYJ,QB,297.5,230,365,67.5
404,Houston Texans,HOU,DST,348.0,331,360,10.8
405,Cedrick Wilson Jr.,MIA,WR,353.0,308,378,27.3
406,Kalif Raymond,DET,WR,354.5,300,377,31.8
407,Las Vegas Raiders,LV,DST,341.3,329,354,10.2
408,James Mitchell,DET,TE,363.6,291,388,36.5
409,Danny Gray,SF,WR,341.7,301,367,29.0
410,Trent Sherfield,MIA,WR,317.5,263,372,54.5
411,Sammy Watkins,BAL,WR,322.5,299,346,23.5
412,Jalen Reagor,MIN,WR,353.5,263,444,90.5
413,Tre'Quan Smith,NO,WR,332.0,321,343,11.0
414,Caleb Huntley,ATL,RB,366.3,329,401,26.8
415,Equanimeous St. Brown,CHI,WR,334.0,285,383,49.0
416,O.J. Howard,HOU,TE,344.0,295,393,49.0
417,Snoop Conner,JAC,RB,371.5,362,382,9.5
418,Ty Chandler,MIN,RB,346.5,331,362,15.5
419,Justyn Ross,KC,WR,349.5,328,371,21.5
420,Marquise Goodwin,SEA,WR,354.0,331,377,23.0
421,Tre' McKitty,LAC,TE,356.0,324,388,32.0
422,Travis Homer,SEA,RB,371.7,349,386,16.2
423,Sony Michel,FA,RB,383.0,340,424,34.3
424,Dan Arnold,JAC,TE,375.3,360,388,11.6
425,Kyle Rudolph,TB,TE,369.5,347,392,22.5
426,Hunter Long,MIA,TE,396.5,342,451,54.5
427,Grant Calcaterra,PHI,TE,375.0,369,381,6.0
428,Justin Watson,KC,WR,377.5,373,382,4.5
429,Justice Hill,BAL,RB,387.0,358,416,29.0
430,Kene Nwangwu,MIN,RB,408.5,367,450,41.5
431,Craig Reynolds,DET,RB,397.0,379,415,18.0
432,Davis Mills,HOU,QB,404.0,381,427,23.0
