Player,Team,Pos,RushingAtt,RushingYds,RushingTD,Receptions,ReceivingYds,ReceivingTD,FL,PassingAtt,PassingCmp,PassingYds,PassingTD,TotalInt,TotalSacks,Int,FumblesRecovered,FumblesForced,DefensiveTDs,SafetysForced,PointsAllowed,YardsAgainst,FieldGoalsMade,FieldGoalsAttempted,ExtraPointsMade
Julius Chestnut,TEN,RB,4.5,18.9,0.1,3.8,28,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deon Jackson,IND,RB,8.4,35.9,0.3,1,7.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khari Blasingame,CHI,RB,2.4,10.1,0.1,4.3,30.3,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Derek Watt,PIT,RB,2.2,8.7,0.1,4.4,32.6,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Cabinda,DET,RB,3,9.9,0.1,4.5,29.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Harris,NE,RB,8.2,34.3,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnny Stanton IV,CLE,RB,2.2,9.3,0.1,3.9,27.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Prentice,NO,RB,4.4,18.9,0.1,2,14.7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Gilliam,BUF,RB,0,0,0,4.4,32.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Bawden,NYJ,RB,0,0,0,4.3,31.4,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trayveon Williams,CIN,RB,2.9,11.9,0.1,2.8,19.3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mekhi Sargent,JAC,RB,2.2,8.9,0.1,2.1,15.9,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Godwin Igwebuike,DET,RB,2.2,9.1,0.1,2,15.2,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Huntley,PHI,RB,3,12.6,0.1,1.1,7.9,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabe Nabers,LAC,RB,4.4,18.9,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer Brown,BUF,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Lovett,MIA,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gerrid Doaks,MIA,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nate McCrary,BAL,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
John Kelly Jr.,CLE,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taiwan Jones,BUF,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Salvon Ahmed,MIA,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Davis,DAL,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jonathan Williams,WAS,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Bonnafon,WAS,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cooper Kupp,LAR,WR,4.1,23.9,0.1,123,"1,599.70",12.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ja'Marr Chase,CIN,WR,8.5,49.9,0.2,91.7,"1,417.50",10.5,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Justin Jefferson,MIN,WR,3.1,16,0,103.2,"1,506.80",9.6,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deebo Samuel,SF,WR,66.2,376.2,4.7,70.7,"1,052.80",6.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davante Adams,LV,WR,0,0,0,106.4,"1,322.20",9.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stefon Diggs,BUF,WR,0.2,2,0,102.1,"1,256.90",8.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CeeDee Lamb,DAL,WR,6,45,0.1,91.1,"1,233.90",7.6,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Evans,TB,WR,0.2,1.4,0,82.2,"1,132.10",10.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyreek Hill,MIA,WR,8.8,62.1,0.3,92.1,"1,149.40",8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
