PlayerID,Player,Position,Tm,PassingYds,PassingAirYards,PassingYAC,PassingTD,Sacks,SackYards,Int,PassingAtt,Cmp,PassingFirstDown,PassingEPA,Passing2PC,RushingAtt,RushingYds,RushingTD,RushingFirstDown,RushingEPA,Rushing2PC,Receptions,Targets,ReceivingYards,ReceivingTDs,ReceivingAirYards,ReceivingYAC,ReceivingFirstDown,ReceivingEPA,Receiving2PC,TargetShare,AirYardsShare,WOPR,SpecialTeamsTD,FumblesLost,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
00-0035243,Miles Sanders,RB,PHI,0,0,0,0,0,0,0,0,0,0,0.0,0,13,96,1,4,5.306883,0,2,2,9,0,-3,12,0,-0.92202073,0,0.06896552,-0.023255814,0.08716921,0,0,16.5,18.5,17.5
00-0035250,Devin Singletary,RB,BUF,0,0,0,0,0,0,0,0,0,0,0.0,0,8,48,0,2,1.0344442,0,2,2,14,0,-8,22,2,1.0501258,0,0.06451613,-0.03524229,0.07210459,0,0,6.2,8.2,7.2
00-0035261,Tony Pollard,RB,DAL,0,0,0,0,0,0,0,0,0,0,0.0,0,6,8,0,0,-4.055672,0,2,2,14,0,1,13,0,-2.0582266,0,0.048780486,0.002754821,0.0750991,0,0,2.2,4.2,3.2
00-0035345,Chris Myarick,TE,NYG,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1,1,1,0,1,1.1235902,0,0.04761905,0.008333334,0.0772619,0,0,6.1,7.1,6.6
00-0035414,Jalen Guyton,WR,LAC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,1,0,0,28,0,0,-1.3466781,0,0.029411765,0.11914894,0.1275219,0,0,0.0,0.0,0.0
00-0035500,Greg Dortch,WR,ARI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,7,9,63,0,62,31,3,3.3176315,0,0.25,0.23308271,0.5381579,0,0,6.3,13.3,9.8
00-0035527,Andy Isabella,WR,ARI,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,3,10,0,30,4,1,-0.25488025,0,0.083333336,0.11278196,0.20394737,0,0,1.0,2.0,1.5
00-0035547,Joe Fortson,TE,KC,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,1,1,1,0,1,0.4887494,0,0.025641026,0.003289474,0.04076417,0,0,6.1,7.1,6.6
00-0035572,Parker Hesse,TE,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,2,5,0,9,4,1,0.6789414,0,0.0625,0.031914894,0.116090424,0,0,0.5,1.5,1.0
00-0035593,Juwann Winfree,WR,GB,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,1,1,17,0,12,5,1,2.003939,0,0.028571429,0.057142857,0.08285714,0,0,1.7,2.7,2.2
